"-25 Damage taken of each Damage Type from Spell Hits per Bark","每层树皮使受到的各种伤害类型的法术击中伤害 -25"
"-5% to maximum Chance to Block Attack Damage","-5% 攻击伤害格挡几率上限"
"-5% to maximum Chance to Block Spell Damage","-5% 法术伤害格挡几率上限"
"(40% of Damage from Suppressed Hits and Ailments they inflict is prevented)","（被压制的击中和异常状态，其施加的伤害会被阻挡 40%）"
"(Adopt the power of the forest, gradually covering your body in bark. Getting hit by enemy attacks causes bark to be removed. You take reduced damage from physical attack hits the more bark builds up, but higher chance to evade when less covered in bark)","（汲取森林的力量，逐渐用树皮覆盖你的身体。被敌人的攻击击中会移除树皮。覆盖的树皮越多，你受到的物理攻击击中伤害越低。覆盖的树皮越少，你的闪避率越高）"
"(Adrenaline grants 100% increased Damage, 25% increased Attack, Cast and Movement Speed and 10% additional Physical Damage Reduction. You cannot gain Adrenaline if you already have it)","（肾上腺素会增加100%伤害，提高25%攻击速度、施法速度和移动速度，并且获得10%额外物理伤害减免。如果你已经有肾上腺素就不能再获得肾上腺素。）"
"(Affects Melee Strikes, including the Default Attack. Does not apply to Areas of Effect)","（影响近战打击，包括普通攻击。无法用于效果区域）"
"(Ailments are Bleeding, Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, Sapped, and Poisoned)","(异常状态包括流血、点燃、冰缓、冰冻、感电、中毒、脆弱、精疲力尽和烧灼)"
"(Ailments that deal Damage are Bleeding, Ignited, and Poisoned)","(伤害类异常状态包括流血、点燃和中毒)"
"(Ailments that do not deal Damage are Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)","(非伤害类异常状态包括冰缓、冰冻、烧灼、脆弱、精疲力尽和感电)"
"(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second, and Curses have 50% reduced effect on them)","（友军在你产生的奉献地面上按照生命上限百分比每秒再生生命，并且他们身上的诅咒效果降低 50%）"
"(Arcane Surge grants 20% increased Cast Speed and 30% increased Mana Regeneration rate, for 4 seconds)","（秘术增强可以在 4 秒内使施法速度提高 20%，魔力恢复速度提高 30%）"
"(Auras can only grant bonuses to things they affect)","（光环只能给受影响的事物提供加成）"
"(Being Blinded causes 20% less Accuracy Rating and Evasion Rating, for 4 seconds)","（被致盲时命中和闪避在接下来 4 秒总降 20%）"
"(Being Blinded causes 20% less Accuracy Rating and Evasion Rating)","generic_buff_aura"
"(Bleeding which has been Aggravated always deals higher Damage as though the target was moving)","（恶性流血将目标视作正在移动，始终造成较高的伤害）"
"(Chill reduces Enemy Action Speed by 10%)","(冰缓敌人10%)"
"(Chill reduces Enemy Action Speed by up to 30%, depending on the amount of Cold Damage in the hit, for 2 seconds)","(取决于造成的冰霜伤害量, 冰缓能至多使敌人减速30%并持续2秒)"
"(Choose one of the three attached options)","( 请在三个选项中选择一项 )"
"(Choose one of the two attached options)","（请在两个选项中选择一项）"
"(Convergence grants 30% more Elemental Damage and lasts 4 seconds)","（汇聚使总元素伤害总增 30%，并持续 4 秒）"
"(Curses a single enemy, making them more vulnerable to Critical Strikes. Killing the cursed enemy will grant life and mana, and a power charge. You can only have one Mark at a time)","（诅咒单个敌人，使其更易受到暴击。击杀他将回复生命和魔力，并获得一个暴击球。你每次只能标记一个印记。）"
"(Debuffs you are Unaffected by can still be placed on you, but will not actually apply their effect)","(你受到的未生效的减益效果依然会被显示，但是他们不会产生效果)"
"(Dual Wielding inherently grants +20% chance to Block Attack Damage and 10% more Attack Speed)","（双持本使格挡攻击伤害几率 +20%，攻击速度总增 10%）"
"(Each instance of Gale Force lasts 4 seconds. Maximum 10 Gale Force)","（每个飓风之力都持续 4 秒。最多 10 个飓风之力）"
"(Elemental Ailments are Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)","(被点燃、烧灼、冰缓、冰冻、脆弱、感电和精疲力尽统称为元素异常状态)"
"(Elusive initially grants 15% chance to Avoid All Damage from Hits, and 30% increased Movement Speed. The buff reduces its effect over time, removing itself at 0% effect. If you already have an Elusive buff, you cannot gain Elusive)","（灵巧最初有 15% 的几率避免所有攻击击中，并使移动速度提高 30%，该增益随时间流逝递减，降低到 0% 时移除。在已经获得灵巧的情况下，无法再次获得灵巧）"
"(Enemies you Taunt can only target you, and deal 10% less damage to anyone else. Taunt lasts for 3 seconds)","(受你嘲讽的敌人只会攻击你, 并对你以外的其他人造成额外减少 10% 的总伤害, 嘲讽持续3秒)"
"(Every Rage grants 1% more Attack Damage. Maximum Rage is 30. Lose 10 Rage per second if you have not been Hit or gained Rage in the last 2 seconds)","（每点怒火使攻击伤害总增 1%。怒火上限为 30 点。若过去 2 秒内没有被击中或获得怒火，则每秒失去 10 点怒火）"
"(Every Rage has an inherent effect of 1% more Attack Damage, and modifiers can add extra effects to Rage)","（每一点怒火的固有效果使攻击伤害总增 1%，词缀可以为怒火提供额外效果）"
"(Fanaticism grants Spells you Cast yourself 75% more Cast Speed, 75% less Cost and 75% increased Area of Effect)","（欣喜若狂使你自身施放的法术的施法速度总增 75%，魔力消耗降低 75%，效果区域扩大 75%）"
"(Freeze lowers Enemy Action Speed to zero, preventing them from acting. Duration is based on the Cold Damage of the Hit)","(冰冻将完全冻结敌人, 使其无法移动。冰冻的持续长度取决于命中时造成的冰霜伤害量)"
"(Freezes that would have a duration of 0.3 seconds or below are not inflicted)","（持续时间不超过 0.3 秒的冻结不会施加）"
"(Gain Added Spell Damage equal to the Damage of your Main Hand Weapon)","（获得等于你主手武器伤害的附加法术伤害）"
"(Hinder reduces movement speed by 30%)","(缓速使移动速度降低 30%)"
"(Hoarfrost lasts 10 seconds and can be inflicted multiple times, each refreshing the duration of existing Hoarfrost on the target. Each Hoarfost increases Freeze Duration on the target by 20%. All Hoarfrost is removed if the target is Frozen)","（白霜持续 10 秒，可以施加多次，每次都会刷新目标身上的白霜的持续时间。每层白霜使目标受到的冻结持续时间延长 20%。目标被冻结时移除所有白霜层数）"
"(Ignite deals Fire Damage over time, based on the base Fire Damage of the Skill, for 4 seconds)","(点燃会造成持续燃烧的火焰伤害, 取决于技能的基础火焰伤害, 持续4秒)"
"(Ignoring Resistances means your Damage cannot be modified in any way by any Resistance stats)","（无视抗性表示你的伤害不会被任何抗性相关的词缀以任何方式修改）"
"(Increases and Reductions to Maximum Mana also apply to Damage at 30% of their value)","（对魔力上限的增幅与减益有 30% 也套用于伤害）"
"(Intimidated enemies take 10% increased Attack Damage)","（受到威吓的敌人受到的攻击伤害会提高10%）"
"(Killing an Enemy is not Spawning a corpse)","（击败敌人不会唤起灵柩）"
"(Leeched Energy Shield is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","（被偷取的能量护盾会持续恢复。可以同时进行多次偷取，次数有上限）"
"(Leeched Life is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(吸取的生命会随时间逐渐回复。多个吸取效果可以同时发生, 但有一个上限)"
"(Lucky things are rolled twice and the best result used)","(重复判断2次数值，取其中好的结果生效）"
"(Normal Monsters have 1 Power, Magic Monsters 2, Rare Monsters 10, Unique Monsters 20, and Players 5)","（普通怪物的威力为 1，魔法怪物为 2，稀有怪物为 10，传奇怪物为 20，玩家为 5）"
"(Only Damage from Hits can be Recouped, over 4 seconds following the Hit)","（仅能回收击中伤害，它在击中 4 秒内回收）"
"(Overkill Damage is any Damage from a Hit in excess of the Enemy's remaining Life)","(溢出伤害是造成的伤害超出怪物剩余生命的部分)"
"(Passive Skills that are not Notable, Masteries, Keystones, or Jewel Sockets are Small)","（小天赋指天赋树上所有非核心天赋、非专精天赋、非基石天赋，以及非珠宝插槽）"
"(Primal Aegis calls forth a protective aegis which takes elemental damage from hits for you until depleted. The aegis will be restored to its full value after a short delay if you stop taking elemental damage from hits, or if depleted)","（原能护盾会灵唤一个守护护盾，在消散前抵挡击中造成的元素伤害。该护盾在未受到元素伤害或消散一段时间后会自动回复满值）"
"(Random Shrine buffs have a base duration of 20 seconds)","（随机神龛增益效果的基础持续时间为 20 秒）"
"(Recently refers to the past 4 seconds)","( 近期内意指 4 秒内 )"
"(Rune Daggers are considered Daggers)","（符文匕首视为匕首）"
"(Scorched Enemies have their Elemental Resistances lowered by up to 30%, based on the Fire Damage of the Hit, for 4 seconds)","（基于击中的火焰伤害，使被【灼烧】的敌人元素抗性最多降低 30%，持续 4 秒）"
"(Shock increases Damage taken by 15%)","（感电使敌人受到的伤害提高 15%）"
"(Shock increases Damage taken by up to 50%, depending on the amount of Lightning Damage in the hit, for 2 seconds)","（感电能额外提高至多50%的伤害，取决于击中的闪电伤害量, 持续2秒）"
"(Summon two Triggerbots which follow you around and run towards enemies. Your Triggered Spells Trigger twice, once from each Triggerbot's location)","（召唤两个会跟随你移动的触发机器人，它们会冲向你的敌人。你的触发法术在每个触发机器人的位置各触发一次，共两次）"
"(Summons a Relic of a random element that stays near you. Depending on the element chosen, the relic minion will have an Anger, Hatred, or Wrath aura. These relics explode when they die, dealing elemental damage to enemies around them. If you already have a relic of the chosen element, its duration will be refreshed instead of summoning a new one)","（在你身旁召唤一个随机元素的遗物。根据选择的元素，遗物召唤生物会具有愤怒、憎恨或雷霆光环。遗物被击败时爆炸，对周围的敌人造成元素伤害。如果你已拥有该元素的遗物，则会刷新它的持续时间，而非召唤一个新的遗物）"
"(Summons a Sentinel of Radiance which follows you and attacks enemies in melee, while burning enemies around it and taking a portion of damage from hits for you. You can only have one Sentinel of Radiance)","（召唤一个跟随你的光辉哨兵，它会攻击近战范围内的敌人，使周围的敌人燃烧，并替你承受一定比例的击中伤害。你只能拥有一个光辉哨兵）"
"(Tailwind increases Action Speed by 8%)","（提速尾流使行动速度加快 8%）"
"(Take 1% less Damage from Hits per Fortification. Maximum 20 Fortification)","（受到的击中伤害按照每层护体效果总降 1%。最多 20 层护体）"
"(The Damage Types are Physical, Fire, Cold, Lightning, and Chaos)","( 伤害种类分为物理, 火焰, 冰霜, 闪电, 和混沌 )"
"(The effects of the ground still apply to you, allies or enemies after leaving its area)","（离开此区域，地面的效果也会附加于你、友军或敌人）"
"(These are consecutive)","(这些都是连续的)"
