"Accuracy Mastery","命中专精"
"40% more Accuracy Rating against Unique Enemies","对传奇敌人的命中值总增 40%"
"Gain Accuracy Rating equal to your Intelligence","获得等同于智慧的命中值"
"Dexterity's Accuracy Bonus instead grants +3 to Accuracy Rating per Dexterity","敏捷提供的命中加成改为使命中值按照每点敏捷 +3"
"50% more Accuracy Rating at Close Range","近程命中值总增 50%"
"+500 to Accuracy Rating","+500 命中值"
"-2 to Accuracy Rating per Level","每级使命中值 -2"
"Armour Mastery","护甲专精"
"+1 Armour per 2 Strength","每 2 点力量使护甲 +1"
"You take 30% reduced Extra Damage from Critical Strikes","受到的暴击伤害降低 30%"
"20% chance to Defend with 200% of Armour","护甲值有 20% 的几率以 200% 进行防御"
"+1% to all maximum Elemental Resistances if Equipped Helmet, Body Armour, Gloves, and Boots all have Armour","若装备的头盔、胸甲、手套和靴子都有护甲，元素抗性上限 +1%"
"20% increased Armour per second you've been stationary, up to a maximum of 100%","你每静止一秒，护甲提高 20%，最多 100%"
"100% increased Armour from Equipped Boots and Gloves","装备鞋子和手套的护甲提高 100%"
"Fortify Mastery","护体专精"
"Recover 100 Life for each Fortification lost","每失去一层护体回复 100 点生命"
"Gain 20 Fortification on Melee Kill against a Rare or Unique Enemy","近战击败稀有或传奇敌人时获得 20 层护体"
"2% reduced Duration of Ailments inflicted on you per Fortification","每层护体使你受到的异常状态持续时间降低 2%"
"4% increased Stun and Block Recovery per Fortification","每层护体使昏迷和格挡回复提高 4%"
"Melee Hits Fortify","近战击中提供护体状态"
"-3 to maximum Fortification","护体上限 -3"
"10% reduced Damage over Time Taken while you have at least 20 Fortification","受到的持续伤害在至少有 20 层护体的情况下降低 10%"
"Armour and Energy Shield Mastery","护甲和能量护盾专精"
"Stun Mastery","眩晕专精"
"100% increased Enemy Stun Threshold","敌人晕眩门槛提高 100%"
"200% increased Stun Duration on Enemies","敌人的晕眩时间延长 200%"
"20% chance to gain an Endurance Charge when you Stun an Enemy with a Melee Hit","你近战命中并晕眩敌人时，有 20% 的几率获得 1 个耐力球"
"+50% to Critical Strike Multiplier against Stunned Enemies","对眩晕敌人的暴击伤害提高 +50%"
"Hits against you Cannot be Critical Strikes if you've been Stunned Recently","若你近期被眩晕，击中你时无法暴击"
"25% chance to deal a Stunning Hit to Nearby Enemy Monsters when you're Stunned","当你被眩晕时，有 25% 的几率对周围的敌人怪物造成一次眩晕击中"
"Gain Adrenaline when Stunned, for 2 seconds per 100ms of Stun Duration","当你被眩晕时，每 100 毫秒眩晕时间使你获得 2 秒肾上腺素"
"Attack Mastery","攻击专精"
