 Death Offering,死亡奉献
 Precursor's Release,先驱者的解放
Abyssal Bloodline,深渊血裔
Afarud Ritual,阿法鲁德仪式
Aul Bloodline,奥尔血脉
Beetle's Price,甲虫的代价
Bitter Heresy,苦涩异端
Bitter Lash,苦痛鞭笞
Black Mass,黑弥撒
Blood Hunt,血猎
Bone Feeders,噬骨者
Boon of the Mountain,山岳赐福
Boon of the River,河流赐福
Boon of the Sun,烈日赐福
Bound Flesh,束缚血肉
Breachlord,裂隙领主
Brine Rot,咸水腐化
Cannibalised Faith,食人信仰
Catarina Bloodline,卡塔莉娜血脉
Chaos Bloodline,混沌血脉
Chaos Damage,混沌伤害
Charge Duration,充能时间
Charm Socket,咒语插槽
Choir of the Damned,受诅者合唱
Coated Blade,涂层之刃
Cold Damage,冰冷伤害
Cold Damage ,冰霜伤害
Cold Resistance and Effect of Cold Ailments,冰冷抗性和冰冷异常状态效果
Conjoined Spire,共生之尖
Cooldown Recovery Rate,冷却回复率
Corruption's Embrace,腐化之拥
Creeping Lobotomy,渐进脑叶切除
Crimson Power,绯红之力
Cryogenesis,寒霜之源
Curse Effect,诅咒效果
Curse Effect on Self,自身诅咒效果
Damage Over Time Multiplier,持续伤害加成
Debuff Expiry Rate,减益效果消逝率
Deceitful Servant,狡诈仆从
Defences,防御
Delirious,亢奋
Detect Evil,侦测邪恶
Elusive effect,灵巧效果
Enhanced Starlight,强化星辉
Esh of the Storm,风暴之艾许
Farewell to Flesh,告别血肉
Farric Will,大地意志
Farrul Bloodline,法瑞尔血脉
Farrul's Will,法瑞尔的意志
Fertile Will,丰沃意志
Foul Pact,污秽契约
Gaze of the Lich,妖巫之凝视
Ghastly Gaze of the Lich,妖巫之极惧凝视
Herald and Minion Damage,捷技能和召唤生物伤害
Howl of the Wolf,群狼之嚎
Huntleader,猎群首领
Hypnotic Gaze of the Lich,妖巫之催眠凝视
Intensifying Suffusion,强化浸染
It wasn't me!,不是我干的！
Legacy of the King,王者传承
Lesson of the Seasons,四季之课
Life,生命
Life Recovery rate,生命回复速度
Lightning Damage,闪电伤害
Lycia Bloodline,莉西娅血脉
Maximum Life,生命上限
Maximum Spectres and Minion Life,灵体和召唤生物生命上限
Might of the Bear,巨熊之力
Minion Damage,召唤生物伤害
Minion Life,召唤物生命
Murderous Gaze of the Lich,妖巫之杀戮凝视
Nameless Bloodline,无名血脉
Nature's Concoction,自然调剂
Necromantic,死灵法术
Oath of the Maji,玛吉之誓
Offering Duration,奉献效果持续时间
Olroth Bloodline,欧罗什血脉
Oshabi Bloodline,欧莱娜血脉
Priest of Kamasa,卡马萨祭司
Priest of Kopec,科佩克祭司
Priest of Yaomac,夭马克的祭司
Primal Roar,原始咆哮
Primal Wisps found,原始灵尘发现量
Prolonged Servitude,奴役延长
Rage,怒气
